call_id,leader,leader_url,members
1762578668.7345078,1751276571.9938248,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1751276571.9938248.wav,"['1750930975.7736970', '1757406330.1362212', '1753953756.5779810', '1750407385.4141899', '1751694035.2167257', '1749621997.34863927', '1751276571.9938248', '1750151181.2253938', '1751953087.3937799', '1762578668.7345078', '1753076750.12563414', '1756194741.23235815', '1750931201.7739855', '1752039378.4641977', '1750832711.6977604', '1750666854.5855153', '1753255642.730282', '1750923034.7617811', '1754041008.6344483', '1751530850.1072170']"
1762572288.7193033,1762246187.3763556,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1762246187.3763556.wav,"['1762246187.3763556', '1760518538.1036054', '1756288456.24043637', '1755658055.18934969', '1760608051.2120006', '1758785487.10375620', '1760584251.1552152', '1761819041.10562346', '1758850300.10771366', '1760004701.21073462', '1762572288.7193033', '1758590866.8340419', '1760148213.132665']"
1762569928.7111608,1758536095.8181210,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1758536095.8181210.wav,"['1761039732.2506460', '1752038953.4636477', '1761887543.315429', '1759140150.13823110', '1758536095.8181210', '1760618127.2266601', '1751889930.3607681', '1761015476.1914192', '1758090271.4180141', '1759373461.15523764', '1760941278.1171457', '1758788199.10442152', '1760698281.3130274', '1762569928.7111608', '1761826977.10661186', '1760522063.1121094', '1759217995.14455791', '1760685853.2857245', '1761528421.6985752', '1761450013.6475532']"
1762568901.7075808,1759374824.15551744,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1759374824.15551744.wav,"['1759374824.15551744', '1757905098.2210149', '1744448902.4403578', '1749541583.34320554', '1758880798.11413275', '1762568901.7075808', '1757476579.1847248', '1760782345.3884964', '1761100328.2861915', '1758609568.8707990', '1758881216.11420762', '1750044147.1289270', '1756196816.23277895', '1757754507.1254511', '1754540086.9901389', '1751337611.10155341']"
1762567371.7020796,1752720941.9831632,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1752720941.9831632.wav,"['1747982798.24859593', '1754049685.6430686', '1758879031.11380799', '1752400799.7465216', '1756110922.22617960', '1755085729.14537753', '1757482879.1926860', '1753253718.695203', '1753875789.5323156', '1757120994.5645732', '1752748061.10294081', '1760944199.1247621', '1754118262.6769405', '1753600980.3243187', '1752720941.9831632', '1757140237.5968058', '1750994982.8012773', '1759231207.14684676', '1756189728.23145785', '1747712960.22861898']"
1762566245.6981279,1761527099.6950948,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1761527099.6950948.wav,"['1761527099.6950948', '1760770699.3659742', '1757403340.1299628', '1760758691.3467510', '1746518413.15562399', '1760091250.22054870', '1762566245.6981279']"
1762565312.6950955,1739333341.53648381,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1739333341.53648381.wav,"['1739333341.53648381', '1737515395.46273639', '1762565312.6950955', '1754548957.10052982']"
1762564504.6925156,1745569960.10742012,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1745569960.10742012.wav,"['1747882211.24072763', '1762564504.6925156', '1745569960.10742012', '1749779203.35937252', '1755065403.14198472', '1751678587.1956469', '1747619343.22090140', '1746757407.16925681', '1751356446.10417301', '1744770714.6132586', '1754211440.7395638', '1749609022.34675598', '1752838145.11067254', '1747384581.20981594', '1744773540.6188326', '1743404430.75796323', '1745569512.10735672', '1747291976.20311718', '1740825062.61731910', '1744081349.2112934']"
1762519377.6858172,1758089563.4164959,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1758089563.4164959.wav,"['1757730954.898090', '1758955619.11924221', '1754463423.9234727', '1751869564.3300629', '1752392261.7360225', '1755071034.14305065', '1760946052.1302942', '1761732058.9638784', '1761787472.9870059', '1762519377.6858172', '1748252553.26485115', '1758693729.9453055', '1758089563.4164959', '1756031288.22046768']"
1762513943.6798036,1757485175.1970511,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1757485175.1970511.wav,"['1757485175.1970511', '1762513943.6798036', '1760323959.1905468', '1759027284.12431421']"
